Installed 1 package in 2ms
apps/backend/app/modules/auth/router.py:457: unused function 'telegram_verify' (60% confidence)
apps/backend/app/modules/auth/router.py:519: unused function 'otp_request' (60% confidence)
apps/backend/app/modules/auth/router.py:563: unused function 'password_reset_request_endpoint' (60% confidence)
apps/backend/app/modules/auth/router.py:595: unused function 'password_reset_confirm_endpoint' (60% confidence)
apps/backend/app/modules/auth/schemas.py:68: unused variable 'deep_link_url' (60% confidence)
apps/backend/app/modules/auth/schemas.py:114: unused method '_email_required_when_email_channel' (60% confidence)
apps/backend/app/modules/auth/schemas.py:179: unused variable 'ActiveSessionsListResponse' (60% confidence)
apps/backend/app/modules/auth/service.py:336: unused function 'revoke_sessions_on_password_change' (60% confidence)
apps/backend/app/modules/autopay_charges/models.py:39: unused class 'AutopayCharge' (60% confidence)
apps/backend/app/modules/autopay_charges/models.py:68: unused variable 'charged_at' (60% confidence)
apps/backend/app/modules/autopay_charges/service.py:67: unused function '_online_payments_table' (60% confidence)
apps/backend/app/modules/bookings/_negative_importlinter_fixture.py:39: unsatisfiable 'if' condition (100% confidence)
apps/backend/app/modules/bookings/notifications.py:69: unused function 'render_booking_cancelled_by_client_dm' (60% confidence)
apps/backend/app/modules/bookings/notifications.py:83: unused function 'render_booking_cancelled_by_owner_dm' (60% confidence)
apps/backend/app/modules/bookings/schemas.py:58: unused variable 'CONFIRMED' (60% confidence)
apps/backend/app/modules/bookings/schemas.py:59: unused variable 'CANCELLED' (60% confidence)
apps/backend/app/modules/bookings/schemas.py:60: unused variable 'NO_SHOW' (60% confidence)
apps/backend/app/modules/bookings/schemas.py:61: unused variable 'COMPLETED' (60% confidence)
apps/backend/app/modules/bookings/service.py:622: unused function '_dispatch_booking_dm' (60% confidence)
apps/backend/app/modules/client_auth/router.py:56: unused function 'client_otp_request' (60% confidence)
apps/backend/app/modules/client_auth/router.py:79: unused function 'client_otp_verify' (60% confidence)
apps/backend/app/modules/client_auth/router.py:111: unused function 'client_session_refresh' (60% confidence)
apps/backend/app/modules/client_auth/router.py:145: unused function 'client_session_logout' (60% confidence)
apps/backend/app/modules/client_portal/router.py:146: unused function 'client_get_membership' (60% confidence)
apps/backend/app/modules/client_portal/router.py:167: unused function 'client_get_home' (60% confidence)
apps/backend/app/modules/client_portal/router.py:186: unused function 'client_list_bookings' (60% confidence)
apps/backend/app/modules/client_portal/router.py:220: unused function 'client_list_visit_history' (60% confidence)
apps/backend/app/modules/client_portal/router.py:239: unused function 'client_list_pt_session_history' (60% confidence)
apps/backend/app/modules/client_portal/router.py:258: unused function 'client_list_payment_history' (60% confidence)
apps/backend/app/modules/client_portal/router.py:282: unused function 'client_list_plans' (60% confidence)
apps/backend/app/modules/client_portal/router.py:300: unused function 'client_list_pt_packages' (60% confidence)
apps/backend/app/modules/client_portal/router.py:318: unused function 'client_list_trainers' (60% confidence)
apps/backend/app/modules/client_portal/router.py:336: unused function 'client_get_trainer' (60% confidence)
apps/backend/app/modules/client_portal/router.py:364: unused function 'client_create_booking' (60% confidence)
apps/backend/app/modules/client_portal/router.py:426: unused function 'client_cancel_booking' (60% confidence)
apps/backend/app/modules/client_portal/router.py:464: unused function 'client_reschedule_booking' (60% confidence)
apps/backend/app/modules/client_portal/router.py:530: unused function 'client_list_slots' (60% confidence)
apps/backend/app/modules/client_portal/router.py:569: unused function 'client_get_qr_token' (60% confidence)
apps/backend/app/modules/client_portal/router.py:604: unused function 'client_check_in' (60% confidence)
apps/backend/app/modules/client_portal/router.py:742: unused function 'client_get_payment_status' (60% confidence)
apps/backend/app/modules/client_portal/router.py:776: unused function 'client_validate_promo' (60% confidence)
apps/backend/app/modules/client_portal/router.py:818: unused function 'client_get_me' (60% confidence)
apps/backend/app/modules/client_portal/router.py:844: unused function 'client_update_me' (60% confidence)
apps/backend/app/modules/client_portal/router.py:887: unused function 'client_get_payment_method' (60% confidence)
apps/backend/app/modules/client_portal/router.py:907: unused function 'client_delete_payment_method' (60% confidence)
apps/backend/app/modules/client_portal/router.py:932: unused function 'client_patch_payment_method_autopay' (60% confidence)
apps/backend/app/modules/client_portal/router.py:965: unused function 'client_get_weekly_activity' (60% confidence)
apps/backend/app/modules/client_portal/schemas.py:41: unused variable 'auto_renew' (60% confidence)
